,customerID,gender,age,tenure,PhoneService,InternetService,is_tv_subscriber,is_movie_package_subscriber,service_failure_count,bill_avg,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packetss,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol,Churn
0,7590-VHVEG,Female,48,1,No,FTTB,No,No,2,895.5,2844329,20711771.0,27615696.0,88885.28125,118513.70833333333,TelegramChat,No
1,5575-GNVDE,Male,28,34,Yes,FTTB,No,No,1,1708.5,2999342,21840541.0,29120723.0,93729.4375,124972.58333333333,POP3,No
2,3668-QPYBK,Male,38,2,Yes,FTTB,No,No,2,1615.5,1802553,13125790.0,17501054.0,56329.78125,75106.375,APPLE_ICLOUD,Yes
3,7795-CFOCW,Male,22,45,No,FTTB,No,No,0,1269.0,2422228,17638126.0,23517501.0,75694.625,100926.16666666667,MICROSOFT,No
4,9237-HQITU,Female,27,2,Yes,DSL,No,No,0,2121.0,1070915,7798165.0,10397553.0,33466.09375,44621.458333333336,APPLE,Yes
5,9305-CDSKC,Female,36,8,Yes,DSL,Yes,Yes,2,2989.5,1131237,8237416.0,10983222.0,35351.15625,47134.875,FACEBOOK,Yes
6,1452-KIOVK,Male,19,22,Yes,DSL,Yes,No,1,2673.0,2240613,16315645.0,21754195.0,70019.15625,93358.875,MS_ONE_DRIVE,No
7,6713-OKOMC,Female,20,10,No,FTTB,No,No,2,892.5,3213407,23399315.0,31199088.0,100418.96875,133891.95833333334,TOR,No
8,7892-POOKP,Female,47,28,Yes,DSL,Yes,Yes,0,3144.0,1822002,13267413.0,17689885.0,56937.5625,75916.75,YANDEX,Yes
9,6388-TABGU,Male,52,62,Yes,FTTB,No,No,0,1684.5,2646760,19273118.0,25697491.0,82711.25,110281.66666666667,DNS,No
10,9763-GRSKD,Male,54,13,Yes,FTTB,No,No,2,1498.5,2694446,19620357.0,26160476.0,84201.4375,112268.58333333333,UPNP,No
11,7469-LKBCI,Male,52,16,Yes,DOCSIS,No,No,2,568.5,2378631,17320662.0,23094216.0,74332.21875,99109.625,HTTP,No
12,8091-TTVAX,Male,18,58,Yes,DSL,Yes,Yes,0,3010.5,2246058,16355295.0,21807060.0,70189.3125,93585.75,MQTT,No
13,0280-XJGEX,Male,30,49,Yes,DSL,Yes,Yes,1,3111.0,771399,5617156.0,7489541.0,24106.21875,32141.625,FTP,Yes
14,5129-JLPIS,Male,21,25,Yes,DSL,Yes,Yes,2,3165.0,2765151,20135215.0,26846953.0,86410.96875,115214.625,SSL_NO_CERT,No
15,3655-SNQYZ,Female,26,69,Yes,DSL,Yes,Yes,0,3397.5,3060554,22286274.0,29715032.0,95642.3125,127523.08333333333,NETFLIX,No
16,8191-XWSZG,Female,47,52,Yes,DOCSIS,No,No,0,619.5,2166585,15776590.0,21035454.0,67705.78125,90274.375,HTTP_PROXY,No
17,9959-WOFKT,Male,39,71,Yes,DSL,Yes,Yes,0,3201.0,2390777,17409106.0,23212142.0,74711.78125,99615.70833333333,IAX,No
18,4190-MFLUW,Female,29,10,Yes,FTTB,No,No,1,1656.0,1589702,11575856.0,15434476.0,49678.1875,66237.58333333333,OFFICE_365,Yes
19,4183-MYFRB,Female,21,21,Yes,DSL,No,Yes,2,2701.5,2296055,16719362.0,22292483.0,71751.71875,95668.95833333333,TEAMVIEWER,No
20,8779-QRDMV,Male,62,1,No,FTTB,No,Yes,1,1189.5,668638,4868873.0,6491831.0,20894.9375,27859.916666666668,HTTP,Yes
