,customerID,gender,age,tenure,PhoneService,InternetService,is_tv_subscriber,is_movie_package_subscriber,service_failure_count,bill_avg,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packetss,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol,Churn
0,7590-VHVEG,Female,48,1,No,FTTB,No,No,2,895.5,4452600,1200,1800,49500,651600.0,TelegramChat,No
1,5575-GNVDE,Male,28,34,Yes,FTTB,No,No,1,1708.5,51511200,18000,24000,945600,11202900.0,POP3,No
2,3668-QPYBK,Male,38,2,Yes,FTTB,No,No,2,1615.5,91791300,26400,40200,2411700,19843200.0,APPLE_ICLOUD,Yes
3,7795-CFOCW,Male,22,45,No,FTTB,No,No,0,1269.0,5488800,900,2400,36600,1059600.0,MICROSOFT,No
4,9237-HQITU,Female,27,2,Yes,DSL,No,No,0,2121.0,13826100,3000,4200,102600,2133600.0,APPLE,Yes
5,9305-CDSKC,Female,36,8,Yes,DSL,Yes,Yes,2,2989.5,9204900,1200,2100,131400,1066200.0,FACEBOOK,Yes
6,1452-KIOVK,Male,19,22,Yes,DSL,Yes,No,1,2673.0,1573861200,7500,13500,810000,5866500.0,MS_ONE_DRIVE,No
7,6713-OKOMC,Female,20,10,No,FTTB,No,No,2,892.5,1420152600,3300,5400,203400,2965200.0,TOR,No
8,7892-POOKP,Female,47,28,Yes,DSL,Yes,Yes,0,3144.0,234390102300,327300,642000,184800,3462000.0,DEEZER,Yes
9,6388-TABGU,Male,52,62,Yes,FTTB,No,No,0,1684.5,46564800,14100,22800,1614000,8001600.0,DNS,No
10,9763-GRSKD,Male,54,13,Yes,FTTB,No,No,2,1498.5,48430475700,190500,267900,7998900,128014500.0,UPNP,No
11,7469-LKBCI,Male,52,16,Yes,DOCSIS,No,No,2,568.5,33027579000,69000,103200,42808200,10801500.0,HTTP,No
12,8091-TTVAX,Male,18,58,Yes,DSL,Yes,Yes,0,3010.5,16643796000,33600,45900,12415500,5577000.0,MQTT,No
13,0280-XJGEX,Male,30,49,Yes,DSL,Yes,Yes,1,3111.0,7783556400,37500,19800,82643400,2718300.0,EDONKEY,Yes
14,5129-JLPIS,Male,21,25,Yes,DSL,Yes,Yes,2,3165.0,4613250600,36900,30000,12602400,11354100.0,SSL_NO_CERT,No
15,3655-SNQYZ,Female,26,69,Yes,DSL,Yes,Yes,0,3397.5,180000,2100,0,0,0.0,NETFLIX,No
16,8191-XWSZG,Female,47,52,Yes,DOCSIS,No,No,0,619.5,1501514700,1500,1500,252000,0.0,HTTP_PROXY,No
