customerID,gender,age,tenure,PhoneService,InternetService,is_tv_subscriber,is_movie_package_subscriber,service_failure_count,bill_avg,Churn
7590-VHVEG,Female,48,1,No,DSL,No,No,2,895.5,No
5575-GNVDE,Male,28,34,Yes,DSL,No,No,1,1708.5,No
3668-QPYBK,Male,38,2,Yes,DSL,No,No,2,1615.5,Yes
7795-CFOCW,Male,22,45,No,DSL,No,No,0,1269.0,No
9237-HQITU,Female,27,2,Yes,Fiber optic,No,No,0,2121.0,Yes
9305-CDSKC,Female,36,8,Yes,Fiber optic,Yes,Yes,2,2989.5,Yes
1452-KIOVK,Male,19,22,Yes,Fiber optic,Yes,No,1,2673.0,No
6713-OKOMC,Female,20,10,No,DSL,No,No,2,892.5,No
7892-POOKP,Female,47,28,Yes,Fiber optic,Yes,Yes,0,3144.0,Yes
6388-TABGU,Male,52,62,Yes,DSL,No,No,0,1684.5,No
9763-GRSKD,Male,54,13,Yes,DSL,No,No,2,1498.5,No
7469-LKBCI,Male,52,16,Yes,DOCSIS,No internet service,No internet service,2,568.5,No
8091-TTVAX,Male,18,58,Yes,Fiber optic,Yes,Yes,0,3010.5,No
0280-XJGEX,Male,30,49,Yes,Fiber optic,Yes,Yes,1,3111.0,Yes
5129-JLPIS,Male,21,25,Yes,Fiber optic,Yes,Yes,2,3165.0,No
3655-SNQYZ,Female,26,69,Yes,Fiber optic,Yes,Yes,0,3397.5,No
8191-XWSZG,Female,47,52,Yes,DOCSIS,No internet service,No internet service,0,619.5,No
9959-WOFKT,Male,39,71,Yes,Fiber optic,Yes,Yes,0,3201.0,No
4190-MFLUW,Female,29,10,Yes,DSL,No,No,1,1656.0,Yes
4183-MYFRB,Female,21,21,Yes,Fiber optic,No,Yes,2,2701.5,No
8779-QRDMV,Male,62,1,No,DSL,No,Yes,1,1189.5,Yes
1680-VDCWW,Male,36,12,Yes,DOCSIS,No internet service,No internet service,1,594.0,No
1066-JKSGK,Male,26,1,Yes,DOCSIS,No internet service,No internet service,1,604.5,Yes
3638-WEABW,Female,57,58,Yes,DSL,No,No,0,1797.0,No
6322-HRPFA,Male,59,49,Yes,DSL,No,No,2,1788.0,No
6865-JZNKO,Female,25,30,Yes,DSL,No,No,2,1659.0,No
6467-CHFZW,Male,58,47,Yes,Fiber optic,Yes,Yes,2,2980.5,Yes
8665-UTDHZ,Male,29,1,No,DSL,No,No,1,906.0,Yes
5248-YGIJN,Male,46,72,Yes,DSL,Yes,Yes,0,2707.5,No
8773-HHUOZ,Female,19,17,Yes,DSL,Yes,Yes,0,1941.0,Yes
3841-NFECX,Female,22,71,Yes,Fiber optic,No,No,0,2890.5,No
4929-XIHVW,Male,53,2,Yes,Fiber optic,Yes,Yes,0,2865.0,No
6827-IEAUQ,Female,39,27,Yes,DSL,No,No,2,1984.5000000000002,No
7310-EGVHZ,Male,22,1,Yes,DOCSIS,No internet service,No internet service,2,606.0,No
3413-BMNZE,Male,26,1,Yes,DSL,No,No,0,1357.5,No
6234-RAAPL,Female,27,72,Yes,Fiber optic,Yes,No,2,2997.0,No
6047-YHPVI,Male,42,5,Yes,Fiber optic,No,No,2,2091.0,Yes
6572-ADKRS,Female,43,46,Yes,Fiber optic,No,No,1,2244.0,No
5380-WJKOV,Male,34,34,Yes,Fiber optic,Yes,Yes,2,3190.5,Yes
