Source.IP,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol
10.130.10.158,4452600,1200,1800,49500,651600.0,TelegramChat
10.130.10.191,51511200,18000,24000,945600,11202900.0,POP3
10.130.10.215,91791300,26400,40200,2411700,19843200.0,APPLE_ICLOUD
10.130.12.118,5488800,900,2400,36600,1059600.0,MICROSOFT
10.130.15.113,13826100,3000,4200,102600,2133600.0,APPLE
10.130.15.197,9204900,1200,2100,131400,1066200.0,FACEBOOK
10.130.5.199,1573861200,7500,13500,810000,5866500.0,MS_ONE_DRIVE
10.130.5.32,1420152600,3300,5400,203400,2965200.0,TOR
10.130.7.123,234390102300,327300,642000,184800,3462000.0,DEEZER
10.130.8.133,46564800,14100,22800,1614000,8001600.0,DNS
10.130.9.237,48430475700,190500,267900,7998900,128014500.0,UPNP
10.20.2.114,33027579000,69000,103200,42808200,10801500.0,HTTP
10.20.2.116,16643796000,33600,45900,12415500,5577000.0,MQTT
10.20.4.12,7783556400,37500,19800,82643400,2718300.0,EDONKEY
10.20.4.180,4613250600,36900,30000,12602400,11354100.0,SSL_NO_CERT
10.20.4.223,180000,2100,0,0,0.0,NETFLIX
10.20.4.43,1501514700,1500,1500,252000,0.0,HTTP_PROXY
10.20.5.5,3760483800,24900,13200,42054900,2310300.0,SKINNY
10.200.1.118,273278400,1772700,1128300,0,0.0,OFFICE_365
10.200.1.140,65100,1500,0,0,0.0,TEAMVIEWER
10.200.1.16,5577415500,119700,58800,193237500,11349600.0,EBAY
10.200.1.166,82274559000,78600,32400,46266000,9201600.0,TOR
10.200.1.227,7215900,1800,600,0,0.0,OPENVPN
10.200.1.230,23100,600,0,0,0.0,YAHOO
10.200.1.44,3732600,2700,0,33300,0.0,VK
10.200.7.194,320078763958500,738627000,1040885100,75007877400,2303113635600.0,NETFLIX
10.200.7.195,323614001537400,577038000,847929600,54580193700,1844506051200.0,DEEZER
10.200.7.196,297674271508800,619059300,796784400,35725199700,1667515363800.0,TWITCH
10.200.7.199,354836710628700,907234800,929267100,58095116700,1719107105400.0,UNENCRYPED_JABBER
10.200.7.217,345001351686600,1147117200,1738503000,160303814700,2919534864600.0,APPLE_ITUNES
10.200.7.218,345616556772300,1193028900,2155857900,79512122700,3803585171100.0,UPNP
10.200.7.4,177467072750400,1652196600,361914000,2698987183200,28536341700.0,GOOGLE
10.200.7.5,172297505693700,801930000,273741300,1404014742300,49465695900.0,OPENSIGNAL
10.200.7.6,137762287589400,742858500,146715900,1190507001900,27876880500.0,WIKIPEDIA
10.200.7.7,110858427081000,428901300,240243300,387885200400,12503848800.0,HTTP
10.200.7.8,116547167550600,347823000,200458200,403992398400,34848742800.0,MICROSOFT
10.200.7.9,179068541044500,810994500,192080400,1138906495500,15912290100.0,POP3
10.230.1.110,4246041072900,2228400,1454100,228095400,1709854800.0,EDONKEY
10.230.1.119,13252578825900,14160600,7276500,681746700,18259906800.0,NFS
10.230.1.12,10614888431400,9454500,4873500,472962000,10910046600.0,DEEZER
10.230.1.126,332202739500,666300,709200,48444300,771563400.0,TWITTER
10.230.1.13,18531296156100,12782400,17632800,795121800,46288240800.0,GOOGLE
10.230.1.14,7040640912000,19735500,9123300,481304100,22758587700.0,WAZE
10.230.1.15,1289916275700,517200,177300,44721000,95291100.0,WHOIS_DAS
10.230.1.150,6004211796600,3515100,1126800,185952000,1049591100.0,NFS
10.230.1.151,2617790640600,840000,368100,80029500,254593800.0,OPENSIGNAL
10.230.1.155,6542049186600,3986100,945900,488286900,418412400.0,APPLE
10.230.1.156,19237792200,12900,10800,551400,14869500.0,SSL_NO_CERT
10.230.1.160,5507438870400,4194300,4690800,355473000,10965679500.0,HTTP_CONNECT
10.230.1.161,5071294434900,981000,427200,168873600,172515600.0,DNS
10.230.1.162,8425847576100,17510100,1801800,525063600,3599066700.0,IMAP
10.230.1.163,3134539679100,1663800,1396500,54893700,2845650600.0,CITRIX
10.230.1.190,10365965455800,3334200,3440700,318760800,4093969200.0,FTP_DATA
10.230.1.199,1893129861300,826200,764700,100872300,1330329000.0,WAZE
10.230.1.200,131563862700,144000,147600,16479600,61195500.0,SKYPE
10.230.1.21,705602586300,429900,241500,39682800,351537000.0,NetBIOS
10.230.1.213,7617045162600,2213400,2470800,186797700,2646616200.0,UNENCRYPED_JABBER
10.230.1.220,235108609800,55500,24300,4131000,5563500.0,HTTP_PROXY
10.230.1.221,3366070762800,523200,411600,46036200,255443100.0,SSL
10.230.1.222,10230691339800,2005500,1266900,178097400,315307800.0,MSSQL
10.230.1.229,842793900,3900,3000,242400,3430200.0,STARCRAFT
10.230.1.239,1615843618200,2956500,1759200,107043600,5250646800.0,CLOUDFLARE
10.230.1.240,9325565865300,3230700,2763300,329648400,3573929400.0,NFS
10.230.1.242,3379071005100,820800,411900,371797200,49998600.0,ORACLE
10.230.1.250,5668485751800,4697100,211200,423233700,223247100.0,APPLE_ICLOUD
10.230.1.253,5371965950400,7778100,5824200,221195400,14042631900.0,FTP_DATA
10.230.1.3,7054971421500,7718700,2099700,365662800,2652368100.0,EBAY
10.230.1.4,4220358623100,1893600,1514700,259355400,1804092000.0,CLOUDFLARE
10.230.1.45,368604327000,387600,349200,41426100,383717700.0,WHATSAPP
10.230.1.5,4736923465200,7514100,551700,377480700,639061200.0,WHATSAPP
10.230.1.50,2385885698700,1331400,383100,368305200,139059000.0,BitTorrent
10.230.1.56,13564082598300,11193300,9071400,1508978700,11860518300.0,NFS
10.230.1.57,566189754000,76200,90300,5770200,64886100.0,OPENVPN
10.230.1.61,3683590014900,1820700,952500,699486600,887246100.0,APPLE_ITUNES
10.230.1.69,5325170123700,13660200,5868300,470294100,14167628100.0,WAZE
10.230.1.70,1046918852700,1548600,1436700,37095300,3357423900.0,WHATSAPP
10.230.1.73,10959127494300,68101200,110973300,871697700,232631042700.0,MQTT
10.230.1.75,2473495562700,729300,722100,35391300,836213400.0,WINDOWS_UPDATE
10.230.1.90,9391069729500,14171700,8092800,1136822400,21558531000.0,DNS
103.14.245.22,17799954600,600,1500,171900,0.0,EDONKEY
103.235.247.8,381600,2400,2400,44400,10800.0,OPENSIGNAL
